timestamp,producto,categoria,cantidad,precio_unitario,total_venta
2026-03-25 09:00:00,Teclado,Perifericos,2,350,700
2026-03-25 09:01:00,Mouse,Perifericos,3,200,600
2026-03-25 09:02:00,Laptop,Computo,1,12000,12000
2026-03-25 09:03:00,Memoria USB,Accesorios,4,180,720
2026-03-25 09:04:00,Monitor,Computo,1,3200,3200
2026-03-25 09:05:00,Teclado,Perifericos,1,350,350
2026-03-25 09:06:00,Mouse,Perifericos,2,200,400
2026-03-25 09:07:00,Laptop,Computo,1,11800,11800
2026-03-25 09:08:00,Memoria USB,Accesorios,5,180,900
2026-03-25 09:09:00,Monitor,Computo,1,3200,3200
2026-03-25 09:10:00,Teclado,Perifericos,2,350,700
2026-03-25 09:11:00,Mouse,Perifericos,3,200,600
2026-03-25 09:12:00,Laptop,Computo,1,12500,12500
2026-03-25 09:13:00,Memoria USB,Accesorios,4,180,720
2026-03-25 09:14:00,Monitor,Computo,1,3200,3200
2026-03-25 09:15:00,Teclado,Perifericos,2,350,700
2026-03-25 09:16:00,Mouse,Perifericos,2,200,400
2026-03-25 09:17:00,Laptop,Computo,1,11900,11900
2026-03-25 09:18:00,Memoria USB,Accesorios,6,180,1080
2026-03-25 09:19:00,Monitor,Computo,1,3200,3200
2026-03-25 09:20:00,Laptop,Computo,3,12000,36000
2026-03-25 09:21:00,Mouse,Perifericos,1,200,200
2026-03-25 09:22:00,Teclado,Perifericos,1,350,350
2026-03-25 09:23:00,Memoria USB,Accesorios,2,180,360
2026-03-25 09:24:00,Monitor,Computo,1,3200,3200